<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FEES;D;031022;000000;0.0782400;0.0826000;0.0778000;0.0816400;711470000
FEES;D;041022;000000;0.0817600;0.0819800;0.0796400;0.0810400;413440000
FEES;D;051022;000000;0.0814000;0.0817800;0.0783400;0.0805800;597780000
FEES;D;061022;000000;0.0816400;0.0825000;0.0782200;0.0790600;1085150000
FEES;D;071022;000000;0.0790400;0.0795000;0.0761400;0.0767800;475730000
FEES;D;101022;000000;0.0747200;0.0790000;0.0743000;0.0784000;897170000
FEES;D;111022;000000;0.0789800;0.0830000;0.0781200;0.0825000;1876760000
FEES;D;121022;000000;0.0828000;0.0829600;0.0800000;0.0806400;981650000
FEES;D;131022;000000;0.0806600;0.0832800;0.0802800;0.0824600;755610000
FEES;D;141022;000000;0.0827000;0.0827000;0.0811400;0.0824600;270180000
FEES;D;171022;000000;0.0824600;0.0844800;0.0820000;0.0843400;699700000
FEES;D;181022;000000;0.0844600;0.0845200;0.0817000;0.0821600;827420000
FEES;D;191022;000000;0.0827400;0.0839000;0.0811400;0.0833400;1055700000
FEES;D;201022;000000;0.0836000;0.0857600;0.0832800;0.0855800;1189650000
FEES;D;211022;000000;0.0850200;0.0871600;0.0843000;0.0861800;836190000
FEES;D;241022;000000;0.0866400;0.0882000;0.0863800;0.0878400;841650000
FEES;D;251022;000000;0.0876800;0.0885000;0.0872200;0.0879600;807700000
FEES;D;261022;000000;0.0880000;0.0880000;0.0860200;0.0870000;898650000
FEES;D;271022;000000;0.0870000;0.0878000;0.0866400;0.0875000;946160000
FEES;D;281022;000000;0.0873000;0.0884800;0.0864800;0.0875000;405510000
FEES;D;311022;000000;0.0879800;0.0879800;0.0866200;0.0873400;345400000
FEES;D;011122;000000;0.0869800;0.0878000;0.0869800;0.0875600;350600000
FEES;D;021122;000000;0.0878400;0.0910000;0.0872400;0.0893200;2192210000
FEES;D;031122;000000;0.0894000;0.0898400;0.0875200;0.0886200;987460000
FEES;D;071122;000000;0.0887600;0.0894000;0.0880200;0.0886200;663880000
FEES;D;081122;000000;0.0887200;0.0888800;0.0865400;0.0876600;693120000
FEES;D;091122;000000;0.0878400;0.0878800;0.0818000;0.0857000;1080270000
FEES;D;101122;000000;0.0857000;0.0878400;0.0839000;0.0874600;485250000
